Date	Time (UTC)	Latitude (lat)	longitude  (Long)	Maximum Sustained Surface Wind (kmph) 	Estimated Central Pressure (hPa)	Cyclone Category
16/05/2020	0000	10.4	87.0	46	1000	D
16/05/2020	0300	10.7	86.5	46	1000	D
16/05/2020	0600	10.9	86.3	46	1000	D
16/05/2020	0900	10.9	86.3	56	998	DD
16/05/2020	1200	10.9	86.3	65	996	CS
16/05/2020	1500	11.0	86.2	74	995	CS
16/05/2020	1800	11.1	86.1	74	995	CS
16/05/2020	2100	11.3	86.1	83	994	CS
17/05/2020	0000	11.4	86.0	83	992	CS
17/05/2020	0300	11.4	86.0	93	990	SCS
17/05/2020	0600	11.5	86.0	102	988	SCS
17/05/2020	0900	11.7	86.0	120	980	VSCS
17/05/2020	1200	12.0	86.0	130	978	VSCS
17/05/2020	1500	12.8	86.2	130	978	VSCS
17/05/2020	1800	12.5	86.1	148	970	VSCS
17/05/2020	2100	12.9	86.4	167	962	ESCS
18/05/2020	0000	13.2	86.3	185	952	ESCS
18/05/2020	0300	13.3	86.2	213	936	ESCS
18/05/2020	0600	13.4	86.2	222	930	SuCS
18/05/2020	0900	13.7	86.2	222	930	SuCS
18/05/2020	1200	14.0	86.3	232	926	SuCS
18/05/2020	1500	14.5	86.4	232	926	SuCS
18/05/2020	1800	14.9	86.5	241	920	SuCS
18/05/2020	2100	15.2	86.6	241	920	SuCS
19/05/2020	0000	15.6	86.7	232	926	SuCS
19/05/2020	0300	16.0	86.8	222	930	SuCS
19/05/2020	0600	16.5	86.9	213	936	ESCS
19/05/2020	0900	17.0	86.9	204	942	ESCS
19/05/2020	1200	17.4	87.0	194	946	ESCS
19/05/2020	1500	18.1	87.1	185	950	ESCS
19/05/2020	1800	18.4	87.2	185	950	ESCS
19/05/2020	2100	18.7	87.2	185	950	ESCS
20/05/2020	0000	19.1	87.5	176	954	ESCS
20/05/2020	0300	19.8	87.7	167	958	ESCS
20/05/2020	0600	20.6	88.0	167	960	ESCS
20/05/2020	0900	21.4	88.1	167	960	ESCS
20/05/2020		Crossed West Bengal – Bangladesh coasts as a very severe cyclonic storm across Sundarbans, near lat.21.65°N/long. 88.30°E during1000-1200 UTC, with maximum sustained wind speed of 85 knots gusting to 100 knots.				
20/05/2020	1200	21.9	88.4	148	968	VSCS
20/05/2020	1500	22.7	88.6	120	978	VSCS
20/05/2020	1800	23.3	89.0	93	984	SCS
20/05/2020	2100	24.2	89.0	83	986	CS
21/05/2020	0000	24.2	89.3	74	988	CS
21/05/2020	0300	24.7	89.5	65	990	CS
21/05/2020	0600	25.0	89.6	56	992	DD
21/05/2020	1200	25.4	89.6	37	995	D
21/05/2020	1800	Weakened Into a well marked low pressure area over north Bangladesh and neighbourhood
